Ticker,Pair Ticker,Mape Value,MAPE_Diff,Pair Mape
IBM,AAPL,1.6738788607153636,0.3933959550935717,1.280482905621792
JNPR,AAPL,2.8448980236794497,1.544686706879484,1.3002113167999656
TDY,AAPL,1.9285592249609154,0.5826126618125469,1.3459465631483685
MCHP,AAPL,2.4409641619121225,1.0896233527711774,1.3513408091409451
IBM,MSI,1.6738788607153636,0.2945692383888896,1.379309622326474
IBM,ROP,1.6738788607153636,0.29439121956597747,1.3794876411493862
CDW,AAPL,1.9741935302225542,0.5876027128459602,1.386590817376594
KEYS,MSI,2.576695208754098,1.1821134768403783,1.3945817319137197
HPQ,AAPL,2.129533095192412,0.7226763656385489,1.4068567295538632
TDY,ROP,1.9285592249609154,0.5191542591245595,1.4094049658363559
KEYS,AAPL,2.576695208754098,1.1646059038792744,1.4120893048748235
ACN,AAPL,1.9468629142206837,0.5333271557441428,1.413535758476541
TDY,MSI,1.9285592249609154,0.5075213275758903,1.421037897385025
IBM,IT,1.6738788607153636,0.25137612083279226,1.4225027398825714
KEYS,ROP,2.576695208754098,1.1496996528214505,1.4269955559326475
HPQ,ROP,2.129533095192412,0.6989636007716393,1.4305694944207727
ACN,ROP,1.9468629142206837,0.5058946754310325,1.4409682387896512
KEYS,IT,2.576695208754098,1.1329306948516251,1.4437645139024728
AAPL,MSI,1.4409123203580902,0.00531354850802046,1.4462258688661107
IBM,PTC,1.6738788607153636,0.2247933882275821,1.4490854724877815
TDY,IT,1.9285592249609154,0.47875258631170836,1.449806638649207
HPQ,MSI,2.129533095192412,0.6755409609719769,1.4539921342204352
JNPR,MSI,2.8448980236794497,1.3874331001402063,1.4574649235392434
MCHP,MSI,2.4409641619121225,0.9772559401906316,1.463708221721491
ADI,ROP,2.343397302791083,0.8771970734879821,1.4662002293031007
NOW,ROP,2.797180042416524,1.330657126439727,1.4665229159767972
IBM,APH,1.6738788607153636,0.20668550357471127,1.4671933571406524
TDY,PTC,1.9285592249609154,0.4450063913825568,1.4835528335783585
NOW,AAPL,2.797180042416524,1.3073700861624915,1.4898099562540326
ACN,MSI,1.9468629142206837,0.4565531019067923,1.4903098123138914
ADI,AAPL,2.343397302791083,0.8492491126965083,1.4941481900945746
PTC,MSI,1.5641341556798805,0.0640141932429874,1.500119962436893
KEYS,PTC,2.576695208754098,1.0668955671206728,1.5097996416334252
NOW,MSI,2.797180042416524,1.2784986212265503,1.5186814211899737
PTC,IT,1.5641341556798805,0.04516669426366282,1.5189674614162176
PTC,ROP,1.5641341556798805,0.040421564222030915,1.5237125914578495
KEYS,APH,2.576695208754098,1.051195242887689,1.525499965866409
TDY,APH,1.9285592249609154,0.4024117785823511,1.5261474463785643
ACN,IT,1.9468629142206837,0.41890120020608923,1.5279617140145945
JBL,IT,1.8143173922707578,0.2830625454674198,1.531254846803338
ENPH,AAPL,7.447449492364927,5.91584888986435,1.531600602500578
PTC,APH,1.5641341556798805,0.02882341677368916,1.5353107389061913
FSLR,MSI,2.7552572761676277,1.2183628635014616,1.536894412666166
HPQ,IT,2.129533095192412,0.591066094067374,1.538467001125038
ACN,PTC,1.9468629142206837,0.40175743138604236,1.5451054828346413
FSLR,AAPL,2.7552572761676277,1.2039972980782938,1.551259978089334
HPQ,APH,2.129533095192412,0.5755289544735946,1.5540041407188174
ACN,APH,1.9468629142206837,0.3894855553598664,1.5573773588608173
NTAP,ROP,2.0881222027625936,0.5286112138526009,1.5595109889099927
ADI,MSI,2.343397302791083,0.7814948117710614,1.5619024910200214
PTC,AAPL,1.5641341556798805,0.001389552187397891,1.5627446034924826
HPQ,PTC,2.129533095192412,0.5620326333129275,1.5675004618794846
FSLR,ROP,2.7552572761676277,1.1798903952847477,1.57536688088288
NTAP,IT,2.0881222027625936,0.5073248986746848,1.5807973040879089
JNPR,ROP,2.8448980236794497,1.2633496142602032,1.5815484094192465
CDNS,ROP,1.9784859134689878,0.3963432107324425,1.5821427027365453
ADI,APH,2.343397302791083,0.7572768476730047,1.586120455118078
ADI,PTC,2.343397302791083,0.7553248709754501,1.5880724318156327
CDW,MSI,1.9741935302225542,0.3794885387402469,1.5947049914823073
IBM,CDNS,1.6738788607153636,0.078662768208551,1.5952160925068126
NTAP,MSI,2.0881222027625936,0.49050735836561565,1.597614844396978
FSLR,IT,2.7552572761676277,1.1571644566891552,1.5980928194784725
AAPL,APH,1.4409123203580902,0.15765297952914814,1.5985652998872384
NOW,IT,2.797180042416524,1.1939373899410342,1.60324265247549
NOW,APH,2.797180042416524,1.1915970432925658,1.6055829991239583
HPE,ROP,2.706802757293325,1.097793227146459,1.609009530146866
MCHP,ROP,2.4409641619121225,0.8284357497997357,1.6125284121123868
IBM,SNPS,1.6738788607153636,0.05315088923178224,1.6207279714835814
HPE,MSI,2.706802757293325,1.0839008301918,1.622901927101525
ADI,IT,2.343397302791083,0.7190667398153177,1.6243305629757652
JNPR,APH,2.8448980236794497,1.218922605847865,1.6259754178315846
AAPL,ROP,1.4409123203580902,0.18594869019948335,1.6268610105575736
NOW,PTC,2.797180042416524,1.1698298602360253,1.6273501821804988
JNPR,PTC,2.8448980236794497,1.2111732210039299,1.6337248026755198
TDY,SNPS,1.9285592249609154,0.29423273492471114,1.6343264900362042
JBL,APH,1.8143173922707578,0.17803694599691422,1.6362804462738436
JBL,ROP,1.8143173922707578,0.17758874571190786,1.63672864655885
TDY,FICO,1.9285592249609154,0.28968092969106674,1.6388782952698486
ACN,FICO,1.9468629142206837,0.3056599028285867,1.641203011392097
