signal,pred,prev_spread,next_spread
0,0.28541332,0.30538719293060546,[0.28012579]
1,0.30004364,0.28012579235069157,[0.26124237]
1,0.29993835,0.26124236552512664,[0.25457179]
1,0.2847743,0.2545717862404492,[0.25154637]
1,0.25855726,0.25154637398265967,[0.25241151]
0,0.24780829,0.25241150819792957,[0.27429898]
0,0.24885538,0.27429897642717704,[0.25154126]
0,0.24789728,0.2515412589913488,[0.28029185]
0,0.2566596,0.28029185439735793,[0.28613976]
0,0.26782072,0.2861397609014828,[0.27589149]
0,0.27116486,0.27589149043419536,[0.22028123]
1,0.26367044,0.22028123483457618,[0.22560811]
1,0.24188478,0.2256081129087385,[0.22259111]
1,0.223883,0.2225911088558436,[0.21089453]
1,0.21147442,0.21089452509547857,[0.18735295]
1,0.1982764,0.18735295275836067,[0.19667142]
0,0.18224145,0.19667141590106446,[0.20600081]
0,0.1847814,0.20600080971013124,[0.20024266]
0,0.18217875,0.20024266079325515,[0.2188517]
0,0.19224866,0.21885169986576292,[0.21858887]
0,0.19935499,0.2185888733944356,[0.18597548]
1,0.20182449,0.18597547859151903,[0.16939912]
1,0.18677567,0.16939912305225674,[0.16738802]
1,0.1724715,0.16738802057824054,[0.16875555]
0,0.15768525,0.16875554503595686,[0.16358015]
0,0.15358104,0.1635801547866439,[0.17097006]
0,0.14736682,0.17097005600004583,[0.10937253]
1,0.1452694,0.10937252790017543,[0.10779858]
1,0.124378234,0.10779858201229897,[0.11850538]
0,0.1123635,0.11850537991983334,[0.10976358]
0,0.10603084,0.10976357949614379,[0.09797058]
0,0.09746368,0.09797058165298833,[0.12399727]
0,0.09958516,0.12399726901505026,[0.13324538]
0,0.11242189,0.1332453835101367,[0.13414317]
0,0.11795153,0.13414316958774686,[0.14866407]
0,0.12956195,0.14866406937217463,[0.13099787]
1,0.13353902,0.13099787034183685,[0.13995548]
0,0.13391992,0.13995548135781843,[0.15090338]
0,0.13840735,0.15090338454070223,[0.18118925]
0,0.15785132,0.18118924809207293,[0.15618044]
1,0.16420902,0.15618044400086495,[0.15534292]
1,0.16650069,0.15534291672499845,[0.15211606]
1,0.15519023,0.15211605789161164,[0.14028452]
1,0.14878538,0.14028452244268974,[0.13275231]
1,0.13549468,0.1327523123614484,[0.11778199]
1,0.122770965,0.11778199402540973,[0.13324671]
0,0.11529744,0.13324671480924505,[0.14777021]
0,0.1253044,0.14777020712351513,[0.15160827]
0,0.12971932,0.15160827238435798,[0.17951244]
0,0.15248755,0.1795124418309874,[0.15459304]
1,0.15749064,0.1545930449851573,[0.15901086]
1,0.16258368,0.15901085597347592,[0.14314429]
1,0.15452865,0.14314429306405763,[0.15813472]
0,0.1553881,0.1581347210234687,[0.14868138]
1,0.15187973,0.14868137626058248,[0.14058582]
1,0.14650726,0.1405858164514095,[0.14231034]
0,0.1394697,0.1423103392752717,[0.1278401]
1,0.13503759,0.12784009892533316,[0.11707802]
1,0.12225603,0.11707801707061771,[0.06660931]
1,0.111348554,0.06660930869561099,[0.05391916]
1,0.08166833,0.05391915539021286,[0.0839815]
0,0.07454151,0.08398150082813793,[0.06740416]
1,0.075396284,0.06740416433163798,[0.05129699]
1,0.06913416,0.051296986625489205,[0.06883174]
0,0.06291168,0.06883173738597581,[0.0264684]
1,0.0583786,0.026468398392519465,[0.03904231]
1,0.049024075,0.039042308265251235,[0.05451004]
0,0.0513976,0.05451004198917375,[0.03143975]
1,0.04914951,0.031439749536392725,[0.04107191]
1,0.04787878,0.04107190879003564,[0.06739365]
0,0.055979595,0.06739365407551978,[0.08607402]
0,0.06621818,0.08607402275288234,[0.05622994]
1,0.07185268,0.05622994030034345,[0.0588732]
1,0.07212284,0.058873199645678054,[0.05283064]
1,0.06532721,0.0528306431982456,[0.03014573]
1,0.05627201,0.03014572680312888,[0.04258216]
1,0.04411336,0.0425821625258358,[0.03111071]
1,0.041504383,0.031110708451521307,[0.07519044]
